Kode_Bahan,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
AR015,"Jagung muda, kuning,",A,R,61.8,147,5.1,0.7,31.5,1.3,0.006,0.122,0.0011,0.005,0.0336,0.0001,0.0002,0.0001,0.009
AR016,"Jagung kuning pipil, kering",A,R,11.5,366,9.8,7.3,69.1,2.2,0.03,0.538,0.0023,0.005,0.0794,0.0001,0.0001,0.0001,0.003
AR017,"Jagung pipil var, harapan, kering",A,R,11.3,367,6.2,5.1,76.2,2.6,0.007,0.354,0.0028,0.001,0.0796,0.0001,0.0002,0.0001,0
AR018,"Jagung pipil var, metro, kering",A,R,10.6,368,5.5,4.6,78,2.9,0.007,0.3,0.0024,0.001,0.0802,0.0001,0.0002,0.0001,0
AR019,"Jali, mentah",A,R,23,324,11,4,61,3.1,0.213,0.176,0.011,0,0.024,0,0.0001,0.0001,0
AR020,"Jawawut, mentah",A,R,11.9,364,9.7,3.5,73.4,8.2,0.028,0.311,0.0053,0.007,0.2551,0.0005,0.0003,0.0003,0
AR021,"Jampang huma,",A,R,11.7,350,6.2,1.4,78.2,1.7,0.329,0.254,0.0053,0.053,0.3967,0.0007,0.0005,0.0003,0
AP001,Nasi,A,P,56.7,180,3,0.3,39.8,0.2,0.025,0.027,0.0004,0.001,0.038,0.0001,0.0001,0.0001,0
AP002,Nasi tim,A,P,71,120,2.4,0.4,26,0.5,0.003,0.007,0.0004,0,0.0239,0.0001,0.0001,0,0
AP003,"Beras, tapai",A,P,75.5,99,1.7,0.3,22.4,0,0.004,0.019,0,0.026,0.002,0.0001,0,0,0
AP004,"Beras, tepung, mentah",A,P,12,353,7,0.5,80,2.4,0.005,0.14,0.0008,0.005,0.241,0.0001,0.0001,0.0001,0
AP005,"Beras merah, Nasi",A,P,64,149,2.8,0.4,32.5,0.3,0.006,0.063,0.0008,0.005,0.0914,0.0002,0.0001,0,0
AP006,"Bihun, mentah",A,P,12.9,348,4.7,0.1,82.1,1.2,0.006,0.035,0.0018,0.012,0.005,0.0001,0,0,0
AP007,Bihun goreng instan,A,P,9,381,6.1,3.9,80.3,0,0.266,0.151,0.0029,0.928,0,0,0.0004,0,0
AP008,"Bihun Jagung, mentah",A,P,11.3,354,0.5,0.3,87.4,3,0.013,0.111,0.0006,0.049,0.0014,0.0004,0,0,0
AP009,"Jagung nasi, mentah",A,P,11,357,8.8,0.5,79.5,6.2,0.005,0.043,0.0006,0.002,0.0304,0.0001,0.0003,0,0
AP010,"Jagung muda, rebus",A,P,53.2,142,5,0.7,30.3,0.8,0.005,0.105,0.0008,0.005,0.0243,0.0002,0.0002,0,0
AP011,"Jagung kuning, tepung",A,P,12,355,9.2,3.9,73.7,7.2,0.01,0.256,0.0024,0.011,0.0244,0.0002,0.0004,0,0
AP012,"Jagung kuning pipil,",A,P,63.7,154,3.8,3.5,28.4,0.7,0.007,0.171,0.0005,0.005,0.0564,0.0001,0.0001,0.0001,0
AP013,"Jagung, tepung putih",A,P,12,355,9.2,3.9,73.7,7.2,0.01,0.256,0.0024,0.011,0.0244,0.0002,0.0004,0,0
AP014,"Ketan, ketupat",A,P,52,212,4,4.6,38.6,0.2,0.008,0.046,0.001,0,0,0,0.0001,0,0
AP015,"Ketan hitam, matang",A,P,56.9,181,4,1.2,37.3,0.3,0.009,0.144,0.0017,0.009,0.0184,0.0001,0.0001,0,0
AP016,"Ketan hitam, tapai",A,P,50.2,166,3.8,1,34.4,0.3,0.008,0.106,0.0016,0.005,0.012,0,0,0,0
AP017,"Ketan putih, matang",A,P,60.7,163,3,0.4,35.7,0.2,0.004,0.055,0.0007,0.008,0.0168,0.0001,0.0001,0,0
AP018,"Ketan putih, tapai",A,P,58.9,172,3,0.5,37.5,0.6,0.006,0.035,0.0005,0.001,0,0,0,0,0
AP019,"Maizena, tepung",A,P,14,341,0.3,0,85,7,0.02,0.03,0.0015,0.006,0.009,0.0002,0,0.0001,0
AP020,"Makaroni, mentah",A,P,11.7,353,8.7,0.4,78.7,4.9,0.02,0.08,0.0003,0.005,0,0.0003,0.0001,0.0001,0
AP021,Mi basah,A,P,80,88,0.6,3.3,14,0.1,0.014,0.013,0.0068,0.063,0.0135,0.0001,0,0,0
AP022,Mi kering,A,P,10.6,339,10,1.7,6.3,0.4,0.031,0.143,0.0039,0.76,0.083,0.0003,0,0.0001,0
AP023,Misoa,A,P,10,345,8.5,2.2,78,0.5,0.052,0.12,0.0087,3.064,0.044,0.0001,0,0,0
AP024,Roti putih,A,P,40,248,8,1.2,50,9.1,0.01,0.095,0.0015,0.53,0.091,0.0002,0.0001,0.0003,0
AP025,Tepung terigu,A,P,11.8,333,9,1,77.2,0.3,0.022,0.15,0.0013,0.002,0,0,0.0001,0.0001,0
AP026,Amparan tatak,A,P,58.4,191,1.3,5.5,34,0,0,0,0,0,0,0,0,0,0
AP027,"Apang kukus, kue",A,P,49.5,202,3,0.3,46.7,0,0,0,0,0,0,0,0,0,0
AP028,"Apem, kue",A,P,63.1,148,2,0.5,33.9,0,0,0,0,0,0,0,0,0,0
AP029,Biskuit,A,P,2.2,458,6.9,14.4,75.1,2.1,0.062,0.087,0.0027,0.241,0.0203,0.0002,0.0001,0.0002,0
AP030,"Bakpia, kue",A,P,38.9,272,8.7,6.7,44.1,0.9,0.194,0.117,0.0045,0,0,0,0.0003,0.001,0
AP031,Bakwan,A,P,40.5,280,8.2,10.2,39,3.4,0.204,0.079,0.007,0,0,0,0.0001,0,0
AP032,Bantal,A,P,52.3,190,3.3,0.3,43.5,3.4,0.009,0,0.0004,0.164,0.084,0.0002,0.0003,0,0
AP033,Baruasa,A,P,5.3,417,6.5,8.2,79.3,0,0,0,0,0,0,0,0,0,0
AP034,Batar daan,A,P,75.3,107,2.2,2.2,19.6,0,0.02,0.03,0.0006,0.2,0,0.09,0.0002,0,0
AP035,Bika ambon,A,P,51.5,199,2.1,1.5,44.4,0.3,0.045,0.028,0.0018,0,0,0,0.0001,0,0
AP036,Bingka,A,P,44.4,273,5.3,10.6,39.1,0,0,0,0,0,0,0,0,0,0
AP037,Bobengka,A,P,46.3,225,5.3,2.6,45.2,0,0,0,0,0,0,0,0,0,0
AP038,Bolu peca,A,P,55.6,197,3.3,4.6,35.6,0,0,0,0,0,0,0,0,0,0
AP039,Brem,A,P,37.4,249,3.4,0.4,58,0,0.198,0.086,0.002,0,0,0,0.0003,0,0
AP040,Bubur tinotuan,A,P,80.9,156,2.3,0.2,15.6,8.2,0.041,0.02,0.0004,0.486,0.164,0.0003,0.0001,0,0.015
AP041,Cake tape,A,P,32.2,323,4.9,11.5,50.1,1.4,0.131,0.083,0.0026,0,0,0,0.0004,0.0002,0
AP042,Cangkuning,A,P,57.5,204,2.8,7.5,31.4,0,0,0,0,0,0,0,0,0,0
AP043,Dodol bali,A,P,26.5,298,3.7,2.1,65.9,0.4,0.07,0.076,0.0025,0,0,0,0.0003,0,0
AP044,Dodol galamai,A,P,16.5,348,0.4,3.8,76.1,0.5,0.041,0.144,0.0026,0.038,0.076,0.0003,0,0.0001,0
AP045,Dodol kedondong,A,P,26.4,331,1.9,7.6,63.8,1,0.09,0.055,0.0023,0,0,0,0.0001,0,0.005
AP046,Dodol manado,A,P,26.1,373,4.3,16.5,51.9,0.4,0.041,0.142,0.0024,0.035,0.072,0.0003,0,0.0001,0
AP047,Emping beras,A,P,13.6,403,10.6,2.2,85.3,0.2,0.011,0.24,0.0003,0.001,0.113,0.0003,0,0.0002,0
AP048,Gemblong,A,P,36.2,274,1.7,5.4,55.5,2.2,0.069,0.055,0.0033,0,0,0,0,0,0
AP049,Gendar goreng,A,P,30.4,407,6.4,28.2,32,0.1,0.216,0.062,0.0016,0,0,0,0.0002,0,0
AP050,Intip goreng,A,P,6.5,474,7.6,21.6,62.3,1.2,0.036,0.064,0.0025,0,0.038,0.0001,0.0003,0,0
AP051,Jagung gerontol,A,P,61.7,156,2.7,1.3,33.3,1,0.051,0.105,0.0012,0,0,0,0.0001,0,0
AP052,Jagung titi,A,P,9.2,374,9.4,2.2,79.1,0.8,0.014,0.142,0.0029,0,0,0.009,0.0002,0,0
AP053,Japilus,A,P,3.8,500,1.2,25.1,67.3,0.4,0.186,0.029,0.0049,0,0,0,0.0002,0,0
AP054,Kakicak,A,P,43.9,296,3.4,15.1,36.7,0,0,0,0,0,0,0,0,0,0
AP055,Kambose,A,P,61.5,164,3,2.4,32.6,4.3,0.016,0.036,0.0007,0,0.032,0.0001,0.0001,0.0001,0
AP056,Kapusa,A,P,63.5,158,4.4,3.2,27.8,5.3,0.079,0.115,0.0012,0.104,0.149,0.0005,0.0001,0.0001,0
AP057,Keddo bodong,A,P,33.9,290,4.6,5.7,55.2,0,0,0,0,0,0,0,0,0,0
AP058,"Kelepon, kue",A,P,49.6,215,3.7,3.7,41.8,1,0.232,0.045,0.0033,0,0,0,0.0001,0.0001,0
AP059,Kereput,A,P,3.5,580,4.8,39.6,51.1,0,0,0,0,0,0,0,0,0,0
AP060,Ketoprak,A,P,69.1,153,7.9,7.7,13,2.9,0.153,0.134,0.0034,0,0,0,0.0001,0,0
AP061,Ketupat kandangan,A,P,78.5,109,2.2,5.2,13.4,0,0,0,0,0,0,0,0,0,0
AP062,Koya,A,P,13.2,366,4.2,4.3,77.5,0.8,0.153,0.222,0.007,0,0,0,0,0,0
AP063,Koya mirasa,A,P,7.2,370,8,1,82.2,0.4,0.083,0.11,0.017,0,0,0,0.0002,0.0005,0
AP064,Koyabu,A,P,44.2,241,3.4,4.3,47.2,0,0,0,0,0,0,0,0,0,0
AP065,Kue ali,A,P,12.8,440,3.8,18.5,64.5,0.3,0.027,0.047,0.0025,0,0,0,0.0001,0.0001,0
AP066,Kue bangen,A,P,5.6,442,3.3,14.7,74.2,0,0,0,0,0,0,0,0,0,0
AP067,Kue gelang,A,P,7.1,448,5.8,16.1,70,0,0,0,0,0,0,0,0,0,0
AP068,Kue jahe,A,P,3.7,425,1.6,8.8,84.6,1.2,0.155,0.061,0.004,0,0,0,0.0002,0,0
AP069,Kue kelapa,A,P,3.3,591,5.6,42.1,47.5,0,0.032,0.18,0.0016,0.033,0.443,0.0005,0,0,0
AP070,Kue koa,A,P,14.5,340,4.8,0.4,79.3,0,0,0,0,0,0,0,0,0,0
AP071,Kue ku temu,A,P,46.2,214,3.5,0.2,49.6,0,0,0,0,0,0,0,0,0,0
AP072,Kue lumpur,A,P,40.1,291,3.6,11.1,44.1,0,0.096,0.06,0.0023,0,0,0,0.0002,0,0
AP073,Kue pelita,A,P,71,141,5.3,5.5,17.6,0,0,0,0,0,0,0,0,0,0
AP074,Kue putu cangkir,A,P,32.6,304,5.3,7,54.9,0.9,0.018,0.193,0.004,0,0,0,0.0001,0,0
AP075,Kue sus,A,P,56.6,221,7.5,10.2,24.8,0,0.105,0.085,0.0025,0,0,0,0.0001,0,0
AP076,Kue thipan,A,P,43,247,2.9,4.2,49.5,0,0.016,0.107,0.0018,0.095,0.056,0.0013,0.0002,0,0
AP077,Laksa/Putu mayang,A,P,73.2,121,1.7,3.4,21.1,0,0,0,0,0,0,0,0,0,0
AP078,Lapis legit,A,P,21.3,389,6.6,15.7,55.5,0.5,0.016,0.136,0.0019,0,0,0,0.0003,0.0001,0
AP079,Lupis ketan,A,P,61,164,1.8,2.1,34.5,0.7,0.119,0.031,0.0015,0,0,0,0.0001,0,0
AP080,Manan samin,A,P,27.1,379,3.4,18.1,50.6,0,0,0,0,0,0,0,0,0,0
AP081,Martabak india,A,P,65.8,153,4.5,4.2,24.3,0,0.014,0.108,0.0024,0.24,0.112,0.0004,0,0,0
AP082,Martabak mesir,A,P,40.2,278,5.1,8.6,45,0,0.049,0.168,0.0034,0.193,0.123,0.0002,0,0,0
AP083,Masekat,A,P,15.6,369,2.1,7,74.1,4,0.017,0.052,0.0008,0.141,0.012,0.0004,0,0,0
AP084,Mie aceh rebus,A,P,74.6,113,3,3.2,18.1,0,0.022,0.044,0.0014,0.191,0.036,0.0002,0,0,0
AP085,Mie ayam,A,P,78.6,102,6.2,3.9,10.5,0,0.262,0.051,0.0018,0.279,0,0,0.0009,0,0
AP086,Mie bakso,A,P,74.5,114,5.3,3,16.4,0.1,0.286,0.053,0.0019,0.76,0,0,0.0002,0,0
AP087,Mie celon,A,P,75.9,102,3,2.1,17.8,0,0.012,0.084,0.0014,0.451,0.112,0.0001,0,0,0
AP088,Mie pangsit basah,A,P,79.2,105,5.9,4.9,9.4,0,0.208,0.048,0.002,0.53,0,0,0.0005,0,0
AP089,Nasi gemuk,A,P,61.4,192,3.8,8.8,24.4,0.7,0.015,0.074,0.001,0.355,0.063,0.0002,0.0002,0.0001,0
AP090,Nasi gurih,A,P,60.5,190,4.7,7.5,26,0.7,0.012,0.062,0.0008,0.296,0.052,0.0002,0.0001,0.0001,0
AP091,Nasi minyak,A,P,53.3,207,3.5,5,37.1,0.8,0.026,0.1,0.0015,0.074,0.174,0.0002,0.0001,0.0001,0
AP092,Nasi rames,A,P,65.8,155,10.3,4.2,19.1,0,0.239,0.062,0.0018,0.265,0,0,0.0006,0,0
AP093,Nopia spesial,A,P,11.5,387,5.3,7.6,74.3,0.3,0.903,0.133,0.0042,0,0,0,0.0002,0,0
AP094,Onde-onde,A,P,27.7,336,4,9.8,57.9,0,0,0,0,0,0,0,0,0,0
AP095,Padamaran,A,P,67.6,171,3.9,8.9,18.8,0,0,0,0,0,0,0,0,0,0
AP096,Pastel,A,P,38.3,307,4.5,13.3,42.4,0,0.296,0.053,0.0025,0,0,0,0.0002,0,0
AP097,Pulut,A,P,49.1,216,2.6,3.1,44.4,0,0.006,0.07,0.0038,0.1,0.022,0.0004,0.0001,0,0
AP098,Pundut nasi,A,P,77.8,104,1.9,4.1,15.1,0.4,0.026,0.1,0.0015,0.074,0.174,0,0,0,0
AP099,Putri hijau,A,P,54.8,189,5.4,2.1,37.2,0,0,0,0,0,0,0,0,0,0
AP100,Putri selat,A,P,66.6,163,2.2,6.5,23.8,0,0.072,0.003,0.004,0.006,0.068,0,0,0,0
AP101,Putu sopa,A,P,50.7,215,3.3,4.1,41.1,0,0,0,0,0,0,0,0,0,0
AP102,Renggi goreng,A,P,8.8,471,4.7,21.8,64.1,6.4,0.004,0.08,0.0011,0.126,0.029,0.0009,0.0005,0.0001,0
AP103,Roti boong,A,P,34,341,5.5,16.2,43.3,0,0.015,0.065,0.0011,0.161,0.041,0,0.0004,0.0003,0
AP104,Roti warna sawo,A,P,40,249,7.9,1.5,49.7,0,0.02,0.14,0.0025,0.5,0.091,0,0.0002,0,0
AP105,Sarimuka,A,P,61.5,166,2.3,2.8,32.9,0,0.036,0.013,0.002,0.003,0.034,0,0,0,0
AP106,Spaghetti,A,P,66.1,139,7.4,2.1,22.6,0,0.109,0.053,0.0047,0,0,0,0.0004,0,0
AP107,Srikaya ketan,A,P,41,265,2.7,6.4,49.1,0,0,0,0,0,0,0,0,0,0
AP108,Sunduk lawang,A,P,63.4,181,1.9,1.3,32.4,0,0,0,0,0,0,0,0,0,0
AP109,Suwir-suwir,A,P,13.4,347,0.5,0.9,84.2,0.8,0.042,0.04,0.0043,0,0,0,0.0001,0,0
AP110,Tipa-tipa,A,P,11.3,355,6.2,1.2,79.8,1.3,0.017,0.328,0.0016,0,0,0,0.0003,0,0
AP111,Wajit camilan,A,P,27.1,303,6.3,2.7,63.3,6.9,0.061,0.302,0.0055,0,0,0,0,0,0
AP112,Widaran,A,P,7,424,1.3,10.7,80.7,0.2,0.049,0.088,0.0025,0,0,0,0.0001,0.0002,0
AP113,Wingko babat,A,P,29.7,355,3.2,15.1,51.4,2.4,0.047,0.063,0.0011,0,0,0,0.0001,0.0001,0
AP114,Yangko,A,P,37.4,254,3,1.1,58.1,0.8,0.184,0.024,0.0026,0,0,0,0.0002,0,0
BR001,"Arrowroot, segar",B,R,73.5,102,1,0.2,24.1,1.7,0.028,0.035,0.0017,0.036,0.6266,0.0002,0.0001,0.0001,0.002
BR002,"Batatas gembili, segar",B,R,76.7,76,1.1,0.9,16,4.2,0,0.04,0.0002,0.01,0.2,0.0002,0.0001,0,0
BR003,"Batatas kelapa, ubi,",B,R,76.1,89,1.1,0.1,21,4,0,0.04,0.0002,0.02,0.34,0.0001,0.0004,0,0
BR004,"Belitung, talas, segar",B,R,63.1,145,1.2,0.4,34.2,1.5,0.026,0.054,0.0014,0.006,0.5361,0.0002,0.0001,0.0001,0.002
BR005,"Bengkuang, segar",B,R,85.1,59,1.4,0.2,12.8,1,0.015,0.018,0.0006,0.002,0.2443,0.0001,0,0.0001,0.02
BR006,"Bentul (Komba), talas,",B,R,75.8,98,1.6,0.7,20.9,0.7,0.044,0.066,0.0015,0,0.1955,0.0002,0,0.0001,0
BR007,"Gadeng/Gadung,",B,R,20.2,322,2.4,0.6,76.6,0,0.039,0.022,0.0022,0.005,0.002,0.0005,0.0005,0,0
BR008,"Gadung, ubi, segar",B,R,74.4,100,0.9,0.3,23.5,2.1,0.079,0.066,0.0009,0.008,0.6872,0.0002,0.0002,0,0.002
BR009,"Ganyong, segar",B,R,79.9,77,0.6,0.2,18.4,0.8,0.015,0.067,0.001,0,0,0,0.0001,0,0.009
BR010,"Gembili, ubi, segar",B,R,66.4,131,1.1,0.2,31.3,1.1,0.014,0.056,0.0006,0.01,0.2,0.0002,0.0001,0,0.004
BR011,"Hofa/Ubi hutan, segar",B,R,67.9,127,1.2,0.5,29.5,3.4,0.03,0.008,0.0007,0.003,0.004,0.0001,0.0003,0.0001,0
BR012,"Kaburan, ubi, segar",B,R,66.5,133,1,0.2,32.2,0.7,0.065,0.05,0.0006,0.01,0.8992,0.0002,0,0,0
BR013,"Kentang, segar",B,R,83.4,62,2.1,0.2,13.5,0.5,0.063,0.058,0.0007,0.007,0.396,0.0004,0.0001,0.0001,0.021
BR014,"Kentang hitam, segar",B,R,64,142,0.9,0.4,33.7,5.4,0.034,0.075,0.0002,0.022,0.8903,0.0009,0,0.0001,0.038
BR015,"Keribang, ubi, segar",B,R,67,137,1.3,1.1,29.8,0.6,0.045,0.056,0.0008,0.01,0.8858,0.0002,0,0,0
BR016,Ketela pohon/singkong,B,R,61.4,154,1,0.3,36.8,0.9,0.077,0.024,0.0011,0.002,0.394,0.0003,0.0001,0.0001,0.031
BR017,Lepok/Ubi rumput,B,R,55.3,181,2.8,1.2,39.8,10.7,0.007,0.05,0.0031,0.116,0.306,0.0016,0.0003,0.0001,0
BR018,"Sagu aren, kering",B,R,11.9,355,0.6,1.1,85.6,0.3,0.091,0.167,0.0022,0.002,0.2,0,0,0.0001,0
BR019,"Sagu aren, segar",B,R,42.5,231,0.6,0.2,56.6,3.2,0.02,0.02,0.0001,0.007,0,0.0001,0.0002,0,0
BR020,Sagu kasbi segar,B,R,42.5,230,0.6,0.2,56.5,3,0.02,0.001,0.0003,0.1,0.41,0.0001,0.0001,0,0
BR021,Sagu lempeng,B,R,13.5,347,0.9,0.3,85.2,4.7,0.03,0.03,0.0002,0.011,0,0.0001,0.0003,0,0
BR022,"Sagu singkong, kering",B,R,12,362,0.5,0.3,86.9,0,0,0,0,0,0,0,0,0,0
BR023,"Sente, talas, segar",B,R,14,353,0.7,0.2,84.7,6.6,0.011,0.013,0.0015,0.03,0.6946,0.0006,0.0001,0.0002,0.005
BR024,"Suweg, talas, segar",B,R,80.1,74,1.4,0.1,17.2,1.4,0.042,0.046,0.0013,0.007,0.4,0.0001,0,0,0.002
BR025,"Talas bogor, segar",B,R,72.4,108,1.4,0.4,25,0.9,0.047,0.067,0.0007,0.01,0.448,0.0002,0.0001,0.0001,0.004
BR026,"Talas pontianak, segar",B,R,60,163,2.3,0.5,36.4,0.7,0.045,0.08,0.0017,0.014,0.3231,0.0003,0,0.0001,0
BR027,"Talas viqueque, segar",B,R,70.6,115,1.8,0.5,25.9,8.6,0.05,0.22,0.0009,0.001,0.07,0.0003,0.0001,0.0001,0
BR028,"Ubi jalar, kuning, segar",B,R,72.6,119,0.5,0.4,25.1,4.2,0.03,0.04,0.0004,0.003,0.001,0.0001,0.0001,0.0001,0.021
BR029,"Ubi jalar manis, segar",B,R,78.4,83,1.5,0.2,18.8,0.6,0.027,0.162,0.0021,0.052,0.3207,0.0001,0,0,0
BR030,"Ubi jalar merah, segar",B,R,61.9,151,1.6,0.3,35.4,0.7,0.029,0.074,0.0007,0.092,0.5656,0.0003,0.0001,0.0001,0.011
BR031,"Ubi jalar putih, segar",B,R,77.8,88,0.4,0.4,20.6,4,0.03,0.01,0.0005,0.002,0.004,0.0001,0.0003,0.0001,0.036
BR032,Ubi jalar tinta/kemayung,B,R,72.5,108,0.5,0.4,25.6,4.2,0.03,0.04,0.0005,0.001,0.001,0.0001,0.0001,0.0001,0.024
BR033,"Umbi Uwi, segar",B,R,69.7,120,2.8,0.5,82.3,2.6,0.009,0.042,0.0013,0.012,0.412,0.0003,0,0.0005,0.004
BP001,"Batatas kelapa, ubi,",B,P,73.2,110,1.4,1.1,23.4,4.5,0.001,0.046,0.0002,0.012,0.23,0.0002,0.0011,0,0
BP002,"Batatas kelapa, ubi,",B,P,75.7,92,1.2,0.3,21,4.1,0,0.042,0.0002,0.01,0.209,0.0002,0.0003,0,0
BP003,"Batatas tali, ubi, rebus",B,P,53.2,182,2.4,0.4,42.2,9.2,0.001,0.08,0.0003,0.02,0.402,0.0003,0.0003,0,0
BP004,"Belitung, talas, kukus",B,P,63.1,145,1.2,0.4,34.2,1,0.021,0.048,0.0009,0.007,0.5526,0.0002,0.0001,0.0001,0.001
BP005,"Bentul, talas, kukus",B,P,81.1,71,2.3,0.3,15.4,0.5,0.029,0.026,0.0006,0,0.201,0.0002,0.0001,0,0.021
BP006,"Gadung, ubi, kukus",B,P,77.4,88,0.6,0.3,20.9,0.9,0.026,0.047,0.0004,0.006,0.584,0.0002,0,0,0
BP007,"Ganyong, rebus",B,P,74.1,100,0.8,0.2,23.8,0.9,0.015,0.065,0.0009,0,0,0,0,0,0.006
BP008,Ketela pohon,B,P,61.5,153,1.2,0.3,36.4,1.3,0.056,0.022,0.0004,0.002,0.3453,0.0003,0,0,0.02
BP009,"Suweg, talas, kukus",B,P,75.5,93,1.5,0.1,21.9,0.9,0.05,0.058,0.0008,0.006,0.3503,0.0001,0.0001,0,0
BP010,"Talas bogor, kukus",B,P,69.2,120,1.5,0.3,28.2,0.7,0.031,0.063,0.0007,0.011,0.498,0.0002,0.0001,0.0006,0.002
BP011,"Ubi jalar, kuning,",B,P,74.2,100,0.7,0.3,23.8,1,0.044,0.046,0.0004,0.003,0.0008,0.0001,0,0.0001,0.016
BP012,Ubi jalar tinta/kemayung,B,P,58.5,165,0.9,0.2,39.8,1.1,0.02,0.023,0.0008,0.001,0.0009,0.0001,0,0.0001,0
BP013,Bagea kelapa asin,B,P,3.5,450,3.2,13.9,78.1,0,0.038,0.038,0.0003,0.074,0,0.0002,0.0003,0,0
BP014,Bagea kelapa manis,B,P,3,452,1.3,13.8,80.6,0,0.038,0.039,0.0003,0.075,0,0.0002,0,0,0
BP015,Bagea kenari asin,B,P,2.8,529,3.2,29.1,63.6,0,0.038,0.04,0.0004,0.074,0,0.0002,0.0003,0,0
BP016,Bagea kenari manis,B,P,3.1,523,3.2,28.2,64.2,0,0.038,0.039,0.0003,0.074,0,0.0002,0.0003,0,0
BP017,Bagea kw 1,B,P,7.2,416,6.5,9.4,76.3,0.4,0.049,0.077,0.0049,0,0,0,0.0001,0,0
BP018,Bagea kw 2,B,P,7.9,382,0.3,3.5,87.2,0.9,0.172,0.12,0.0076,0,0,0,0,0,0
BP019,Beras Cerdas,B,P,11.3,350,2.7,1.1,82.3,6.2,0.028,0.351,0.0029,0.358,0.568,0.0002,0,0.0002,0
BP020,Beras ganyong,B,P,9.3,364,3.4,0.7,86.3,4.7,0.004,0.047,0.005,0.004,0.0722,0.0002,0,0,0
BP021,Beras Siger,B,P,13.5,344,1.1,0.2,28.3,5.6,0.032,0.022,0.0056,0.106,0.0779,0.0001,0,0.0001,0
BP022,Biji nangka/Biji salak,B,P,40.5,262,2.3,5.4,51.1,8,0.06,0.08,0.0008,0.01,0.002,0.0006,0.0001,0.001,0.01
BP023,Bubur sagu,B,P,62.5,167,0.2,4,33,0,0.003,0.003,0.0001,0.007,0,0.0001,0.009,0,0
BP024,Cassavastick,B,P,5.6,460,0.8,18.7,17.2,1.6,0.144,0.058,0.0075,0,0,0,0.0002,0.0001,0
BP025,Ceriping getuk singkong,B,P,0,7.2,462,1.2,20.7,67.7,0.003,1.248,0.172,0.0088,0,0,0.0003,0,0
BP026,Gatot,B,P,12.8,347,1.3,0.7,83.8,5.8,0.078,0.044,0.0171,0.028,0.242,0.0002,0,0.0001,0
BP027,Geblek,B,P,52.1,195,0.4,1.7,44.4,3.6,0.035,0.013,0.0006,0.353,0.125,0.0003,0,0,0
BP028,Getuk goreng,B,P,16.5,360,1.3,6.4,74.3,0.8,0.059,0.081,0.0032,0,0,0,0.0002,0,0
BP029,Getuk singkong,B,P,49.8,204,0.5,1.4,47.4,0.8,0.097,0.052,0.0015,0,0,0,0.0001,0,0
